"","V1","id","uuid","oem","form_factor","os.grep","Segment","Vertical","industry","G22Row","continent","email","born_on_year","born_on_year_group","device_count","device_count_group","physical_server_count","physical_server_group","Employees","pc_count","pcs","program_1","program_2","program_3","program_4","program_5","program_6","program_7","program_8","program_9","program_10","program_11","program_12","program_13","program_14","program_15","program_16","program_17","program_18","program_19","program_20","program_21","program_22","program_23","program_24","program_25","program_26","program_27","program_28","program_29","program_30","program_31","program_32","program_33","ms_count","total_prog_count","percent_ms_prog","ms_fan"
"17","17",1264870,"2375e8ce8c890bf2ed961a1ede725fa8","lenovo","l","windows 7","MM","Distribution & Services","other","US","America_North",1,2011,"2010-2014",1,"1",1,"1-4","100-499",65,"50-249",0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4,0.5,"no"
"18","18",1265700,"2310e4cbc9a18b6266dc7da5ac4469c9","hp","d","windows xp","MM","Distribution & Services","entertainment","US","America_North",1,2007,"2005-2009",4,"4-9",4,"1-4","100-499",96,"50-249",0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,1,"yes"
"19","19",1265706,"2310e4cbc9a18b6266dc7da5ac4469c9","hp","d","windows xp","MM","Distribution & Services","entertainment","US","America_North",1,2013,"2010-2014",1,"1",4,"1-4","100-499",96,"50-249",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,"yes"
"20","20",1283915,"2347599c4429f5df850fc466cb66425c","dell","d","windows 8","SB","Distribution & Services","consulting","US","America_North",1,2011,"2010-2014",1,"1",1,"1-4","10-49",24,"5-24",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,"yes"
"21","21",1297541,"2346f6682889580105c89c8d67f8fbc2","lenovo","l","windows 7","SB","Distribution & Services","retail","US","America_North",1,2014,"2010-2014",1,"1",22,"20-29","10-49",24,"5-24",0,0,0,0,1,0,2,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,4,7,0.571428571428571,"yes"
"22","22",1303421,"23c27568ab8e0bb07d6ec3943917201f","other","l","windows 8","MM","Financial Services","finance","US","America_North",1,2011,"2010-2014",1,"1",17,"10-19","100-499",187,"50-249",0,0,0,0,1,0,2,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,6,0.666666666666667,"yes"
"23","23",1307712,"233c3524199196cf3f72d2c2466c38d7","lenovo","l","windows 7","MM","Distribution & Services","marketing","UK","Europe",1,2009,"2005-2009",1,"1",16,"10-19","100-499",206,"50-249",0,0,0,0,1,0,2,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,5,0.8,"yes"
"24","24",1308144,"2395bf36cad8b2451d0214a0068fc2ec","hp","d","windows 7","MM","manufacturing & resources","manufacturing","US","America_North",1,2014,"2010-2014",1,"1",3,"1-4","10-49",30,"25-49",0,0,0,0,1,0,2,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,5,0.8,"yes"
"25","25",1309042,"23bbf0f330e000acfe36ed3b94eb7391","dell","d","windows xp","MM","distribution & services","construction","Poland","Europe",1,2007,"2005-2009",1,"1",13,"10-19","100-499",302,"250-499",0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,1,"yes"
"26","26",1309046,"23bbf0f330e000acfe36ed3b94eb7391","dell","d","windows xp","MM","distribution & services","construction","Poland","Europe",1,2010,"2010-2014",1,"1",13,"10-19","100-499",302,"250-499",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,"yes"
"27","27",1309438,"23bbf0f330e000acfe36ed3b94eb7391","dell","d","windows xp","MM","distribution & services","construction","Poland","Europe",1,2008,"2005-2009",1,"1",13,"10-19","100-499",302,"250-499",0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,1,"yes"
"28","28",1309534,"23bbf0f330e000acfe36ed3b94eb7391","dell","l","windows 7","MM","distribution & services","construction","Poland","Europe",1,2009,"2005-2009",1,"1",13,"10-19","100-499",302,"250-499",0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,1,"yes"
"29","29",1310253,"23bbf0f330e000acfe36ed3b94eb7391","dell","d","windows xp","MM","distribution & services","construction","Poland","Europe",1,2009,"2005-2009",1,"1",13,"10-19","100-499",302,"250-499",0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,1,"yes"
"30","30",1310425,"23bbf0f330e000acfe36ed3b94eb7391","dell","l","windows xp","MM","distribution & services","construction","Poland","Europe",1,2008,"2005-2009",1,"1",13,"10-19","100-499",302,"250-499",0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,1,"yes"
"31","31",1320550,"22e58a4b76c02845bcad6f2be5cc76a9","hp","l","windows 7","MM","manufacturing & resources","construction","Rest of WE","Europe",1,2011,"2010-2014",1,"1",7,"5-9","100-499",288,"250-499",0,0,0,0,1,0,2,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,5,0.8,"yes"
"32","32",1322440,"2370901052cccad2df9ef85cb02561e1","dell","d","windows xp","MM","unclassified","other","US","America_North",1,2008,"2005-2009",1,"1",4,"1-4","100-499",99,"50-249",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,"yes"
"33","33",1322443,"2370901052cccad2df9ef85cb02561e1","toshiba","d","windows other","MM","unclassified","other","US","America_North",1,2001,"2000-2004",1,"1",4,"1-4","100-499",99,"50-249",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,"yes"
"34","34",1325232,"23b337be78ece4f2e1e79ef1de23c5f8","lenovo","d","windows 7","MM","distribution & services","aerospace","Canada","America_North",1,2011,"2010-2014",1,"1",6,"5-9","100-499",146,"50-249",1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4,0.5,"no"
"35","35",1326852,"230c08327df6ee12a7280bbe3748d062","lenovo","l","windows 7","MM","unclassified","other","Germany","Europe",1,2011,"2010-2014",1,"1",3,"1-4","100-499",167,"50-249",0,0,0,1,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,5,0.4,"no"
"36","36",1327221,"2401b156a9d836aeffdfe55abc08d078","hp","l","windows 7","MM","manufacturing & resources","manufacturing","Rest of APAC","Asia",1,2012,"2010-2014",1,"1",9,"5-9","100-499",125,"50-249",0,0,2,1,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,6,0.666666666666667,"yes"
"37","37",1327796,"238cf026d838ee0c38575fbae2aa0596","hp","d","windows 10","MM","Unclassified","other","Italy","Europe",1,2009,"2005-2009",1,"1",2,"1-4","100-499",373,"250-499",0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,0.25,"no"
"38","38",1327942,"233450609e870e8fe643dde8e1147599","other","l","windows 7","MM","Unclassified","other","Brazil","America_South",1,2012,"2010-2014",1,"1",8,"5-9","100-499",89,"50-249",0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0.333333333333333,"no"
"39","39",1328677,"233450609e870e8fe643dde8e1147599","dell","l","windows 7","MM","Unclassified","other","Brazil","America_South",1,2009,"2005-2009",1,"1",8,"5-9","100-499",89,"50-249",0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0.333333333333333,"no"
"40","40",1329419,"238cf026d838ee0c38575fbae2aa0596","other","d","windows 10","MM","Unclassified","other","Italy","Europe",1,2009,"2005-2009",1,"1",2,"1-4","100-499",373,"250-499",0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,0.25,"no"
"41","41",1329919,"238cf026d838ee0c38575fbae2aa0596","hp","d","windows 10","MM","Unclassified","other","Italy","Europe",0,2016,"2015+",2,"2",2,"1-4","100-499",373,"250-499",0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4,0.5,"no"
"42","42",1331498,"238cf026d838ee0c38575fbae2aa0596","other","d","windows 10","MM","Unclassified","other","Italy","Europe",0,2011,"2010-2014",1,"1",2,"1-4","100-499",373,"250-499",0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,0.25,"no"
"43","43",1331609,"238cf026d838ee0c38575fbae2aa0596","hp","d","windows 10","MM","Unclassified","other","Italy","Europe",1,2014,"2010-2014",6,"4-9",2,"1-4","100-499",373,"250-499",0,0,0,0,0,0,0,0,0,0,0,6,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,12,0.5,"no"
"44","44",1332848,"233450609e870e8fe643dde8e1147599","lenovo","l","windows 7","MM","Unclassified","other","Brazil","America_South",1,2014,"2010-2014",1,"1",8,"5-9","100-499",89,"50-249",0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0.333333333333333,"no"
"45","45",1334774,"233450609e870e8fe643dde8e1147599","asustek","l","windows 7","MM","Unclassified","other","Brazil","America_South",1,2014,"2010-2014",1,"1",8,"5-9","100-499",89,"50-249",0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0.333333333333333,"no"
"46","46",1335331,"238cf026d838ee0c38575fbae2aa0596","other","d","windows 10","MM","Unclassified","other","Italy","Europe",1,2013,"2010-2014",2,"2",2,"1-4","100-499",373,"250-499",0,0,0,2,0,0,0,0,0,0,0,2,0,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,10,0.4,"no"
"47","47",1337604,"233450609e870e8fe643dde8e1147599","gigabyte","d","windows 7","MM","Unclassified","other","Brazil","America_South",1,2013,"2010-2014",1,"1",8,"5-9","100-499",89,"50-249",0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0.5,"no"
"48","48",1338593,"23b7a2533ca4159809533df989dc8f0a","lenovo","d","windows 10","MM","IT Services","it service provider","Italy","Europe",1,2015,"2015+",5,"4-9",NA,NA,"50-99",57,"50-249",0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,1,"yes"
"49","49",1338600,"23b7a2533ca4159809533df989dc8f0a","lenovo","d","windows 10","MM","IT Services","it service provider","Italy","Europe",1,2015,"2015+",1,"1",NA,NA,"50-99",57,"50-249",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0.5,"no"
"50","50",1339493,"23b7a2533ca4159809533df989dc8f0a","lenovo","d","windows 10","MM","IT Services","it service provider","Italy","Europe",1,2015,"2015+",1,"1",NA,NA,"50-99",57,"50-249",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0.5,"no"
